日期,總累計第1劑,總累計第2劑,總累計,總計第1劑,總計第2劑,總計,AZ第1劑,累計AZ第1劑,AZ第2劑,累計AZ第2劑,總計AZ,累計AZ,莫德納第1劑,累計莫德納第1劑,莫德納第2劑,累計莫德納第2劑,總計莫德納,累計莫德納,BNT第1劑,累計BNT第1劑,BNT第2劑,累計BNT第2劑,總計BNT,累計BNT,高端第1劑,累計高端第1劑,高端第2劑,累計高端第2劑,總計高端,累計高端,聯亞第1劑,累計聯亞第1劑,聯亞第2劑,累計聯亞第2劑,總計聯亞,累計聯亞
2021-03-22,1578,0,1578,1578,0,1578,1578,1578,0,0,1578,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-23,3218,0,3218,1638,0,1638,1638,3218,0,0,1638,3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-24,5169,0,5169,1951,0,1951,1951,5169,0,0,1951,5169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,17056,0,17056,606,0,606,606,17056,0,0,606,17056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-03,17078,0,17078,0,0,0,0,17078,0,0,0,17078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-05,17245,0,17245,167,0,167,167,17245,0,0,167,17245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-07,20075,0,20075,1395,0,1395,1395,20075,0,0,1395,20075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-15,30039,0,30039,1542,0,1542,1542,30039,0,0,1542,30039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,32389,0,32389,2234,0,2234,2234,32389,0,0,2234,32389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-25,42672,0,42672,136,0,136,136,42672,0,0,136,42672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-29,54189,0,54189,3224,0,3224,3224,54189,0,0,3224,54189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
